SequenceName	ClusterNumber
351	-1
258	1
367	1
272	1
187	1
286	1
278	1
279	1
132	1
287	1
260	1
282	1
284	1
198	1
291	2
346	2
327	2
361	2
398	2
292	2
201	2
209	3
267	3
256	-1
241	4
234	4
235	4
236	4
233	4
290	4
369	5
366	5
364	5
368	6
365	6
288	6
380	6
237	6
128	7
37	7
101	7
80	7
122	8
129	8
120	8
114	8
103	8
104	8
42	-1
52	9
82	9
100	10
73	10
76	11
79	11
117	11
115	11
81	11
96	11
102	11
127	12
121	12
125	12
107	12
110	12
84	13
91	13
90	13
77	13
47	13
54	-1
94	14
86	14
133	-1
88	15
89	15
21	16
119	16
20	16
92	16
111	16
105	17
118	17
124	18
106	18
126	18
116	19
123	19
24	19
112	19
109	-1
22	-1
179	-1
180	20
62	20
134	21
97	21
113	-1
93	22
32	22
95	22
33	22
99	-1
35	23
56	23
75	23
83	23
49	24
9	24
71	24
61	24
67	24
74	25
13	25
98	25
78	-1
59	26
58	26
166	27
164	27
174	27
170	27
168	27
158	27
155	27
169	27
136	28
148	28
156	28
153	28
157	28
159	28
162	28
160	28
165	28
144	28
135	28
175	28
173	28
154	28
172	28
146	-1
176	29
163	29
171	29
161	29
108	-1
70	-1
72	-1
68	-1
8	30
44	30
48	30
65	30
55	-1
177	-1
6	-1
40	31
50	31
15	31
19	31
18	31
29	-1
409	-1
14	32
30	32
5	32
31	32
11	32
12	32
57	33
147	33
149	33
178	34
141	34
53	-1
2	35
140	35
138	35
137	35
181	36
143	36
51	36
139	-1
36	-1
145	37
34	37
45	37
87	-1
63	38
60	38
150	38
151	38
152	38
10	38
69	38
64	39
46	39
7	40
43	40
41	40
39	40
4	41
0	41
3	41
38	-1
17	42
28	42
26	43
25	43
1	43
23	43
131	-1
130	-1
142	-1
66	-1
16	-1
27	-1
388	-1
85	44
167	44
275	45
347	45
330	46
390	46
311	46
261	46
248	46
220	47
208	47
247	47
214	47
203	47
226	47
225	47
231	47
215	47
228	47
199	47
218	47
217	47
191	47
222	47
219	47
188	47
182	47
193	47
252	48
224	48
393	48
194	49
200	49
243	49
345	49
320	50
329	50
331	50
338	50
324	50
360	50
211	50
400	50
337	50
299	50
321	50
246	50
240	50
405	50
372	50
375	50
315	50
312	50
242	50
210	50
399	50
283	50
305	50
265	50
396	50
392	50
192	50
382	50
189	50
397	51
335	51
268	51
391	51
212	51
264	52
316	52
386	52
325	53
281	53
227	53
300	53
249	53
293	53
336	53
205	53
339	53
271	53
186	53
269	53
379	53
206	53
244	54
362	54
340	54
342	54
302	54
298	54
317	54
266	54
273	54
263	54
309	54
307	54
319	54
262	54
383	54
310	54
318	54
276	54
370	54
304	54
332	54
384	54
389	54
341	54
344	54
404	54
196	54
363	55
328	55
230	55
333	56
295	56
297	57
232	57
229	57
238	58
239	58
355	59
270	59
343	59
402	59
403	59
378	59
245	59
296	59
308	59
374	59
373	59
294	59
277	59
259	59
257	59
202	59
274	59
184	59
185	59
207	59
195	59
401	59
394	59
250	59
223	59
190	59
216	59
253	59
348	60
197	60
334	60
353	60
322	60
354	60
395	60
350	60
323	61
326	61
285	61
381	61
254	61
183	61
387	61
359	62
358	62
357	62
356	62
280	62
352	62
303	62
377	62
314	62
204	62
306	62
221	62
213	62
255	63
385	63
301	64
349	64
376	64
289	64
313	64
251	-1
371	-1
408	-1
407	-1
406	-1
