SequenceName	ClusterNumber
237	1
168	1
169	1
239	1
224	1
223	1
167	1
162	1
165	1
166	1
161	1
160	1
158	1
157	1
159	1
156	1
222	2
221	2
226	2
220	2
204	3
216	3
201	3
212	3
202	3
229	3
207	3
200	3
227	3
199	3
203	3
231	3
213	3
211	3
232	3
208	3
234	3
210	3
209	3
205	3
206	3
215	3
214	3
235	3
228	3
230	3
236	3
233	3
238	4
151	4
153	4
155	4
152	4
154	4
150	4
194	5
193	5
147	5
146	5
149	5
148	5
129	5
145	5
133	5
135	5
134	5
130	5
131	5
132	5
140	5
139	5
137	5
142	5
136	5
144	5
141	5
138	5
143	5
225	6
196	6
191	6
197	6
195	6
192	6
181	6
184	6
183	6
170	6
189	6
177	6
190	6
187	6
185	6
186	6
188	6
174	6
219	6
218	6
178	6
171	6
176	6
179	6
217	6
182	6
173	6
172	6
180	6
175	6
128	-1
32	7
37	7
25	7
39	7
31	7
34	7
33	7
58	7
64	7
65	7
125	7
124	7
126	7
18	7
61	7
63	7
62	7
127	7
17	7
28	7
20	7
12	7
49	7
59	7
60	7
121	7
16	7
50	7
51	7
53	7
40	7
123	7
122	7
3	7
21	7
23	7
56	7
29	7
1	7
4	7
10	7
30	7
6	7
55	7
38	7
46	7
45	7
48	7
47	7
0	7
5	7
7	7
44	7
43	7
52	7
2	7
9	7
36	7
14	7
13	7
8	7
24	7
26	7
19	7
57	7
15	7
11	7
22	7
27	7
54	7
41	7
115	8
109	8
68	8
69	8
95	8
105	8
110	8
96	8
102	8
84	8
73	8
94	8
87	8
118	8
107	8
120	8
82	8
114	8
113	8
42	8
100	8
104	8
83	8
163	8
106	8
80	8
67	8
97	8
79	8
101	8
86	8
72	8
93	8
119	8
85	8
108	8
75	8
90	8
78	8
35	8
112	8
74	8
91	8
164	8
76	8
111	8
116	8
198	8
89	8
103	8
77	8
117	8
81	8
70	8
66	8
88	8
71	8
98	8
92	8
99	8
