SequenceName	ClusterNumber
1617	-1
1514	1
1496	1
1650	1
1703	1
1493	1
1494	1
1495	1
1519	1
1698	1
1652	1
1713	1
1719	1
1505	1
1649	1
1660	1
1503	1
1504	1
1904	1
1653	1
1651	1
1511	1
1654	1
1648	1
1510	1
1522	1
1921	1
1925	1
1518	1
1520	1
1515	1
1521	1
1508	1
1497	1
1492	1
1509	1
1513	1
1517	1
1491	1
1512	1
1516	1
1502	1
1501	1
1507	1
1506	1
1500	1
1499	1
1498	1
1903	2
1900	2
1894	2
1845	2
1851	2
1899	2
1889	2
1901	2
1898	2
1813	2
1843	2
1866	2
1846	2
1895	2
1863	2
1854	2
1893	2
1753	2
1751	2
1849	2
1869	2
1792	2
1868	2
1850	2
1848	2
1897	2
1865	2
1862	2
1864	2
1859	2
1892	2
1860	2
1861	2
1902	2
1896	2
1844	2
1806	2
1842	3
1749	3
1755	3
1784	3
1790	3
1794	3
1747	3
1800	3
1821	3
1816	3
1805	3
1807	3
1795	3
1930	3
1822	3
1855	3
1820	3
1811	3
1814	3
1779	3
1762	3
1797	3
1815	3
1817	3
1823	3
1872	3
1759	3
1778	3
1819	3
1752	3
1750	3
1764	3
1771	3
1783	3
1786	3
1785	3
1818	3
1812	3
1776	3
1772	3
1769	3
1748	3
1770	3
1766	3
1782	3
1765	3
1754	3
1746	3
1757	3
1781	3
1763	3
1756	3
1745	3
1774	3
1758	3
1761	3
1931	3
1929	3
1796	3
1775	3
1768	3
1767	3
1920	3
1871	3
1760	3
1853	3
1788	3
1808	3
1793	3
1789	3
1810	3
1777	3
1791	3
1802	3
1799	3
1744	3
1773	3
1780	3
1787	3
1803	3
1809	3
1804	3
1801	3
1873	3
1880	3
1624	4
1592	4
1551	4
1277	4
1279	4
1276	4
1278	4
1923	5
1852	5
1887	5
1798	5
1847	5
1888	5
1891	5
1890	5
1840	6
1839	6
1838	6
1837	6
1836	6
1927	6
1926	6
1834	6
1835	6
890	7
889	7
1709	7
1699	7
1828	7
1829	7
1827	7
1830	7
1710	8
1542	8
1614	8
1368	8
1371	8
1372	8
1369	8
1375	8
1377	8
1374	8
1370	8
1528	8
1578	8
1579	8
1364	8
1373	8
1705	8
1568	8
1291	8
1365	8
1366	8
1376	8
1367	8
1711	8
1540	8
1305	8
1300	8
1702	8
1567	8
1564	8
1534	8
1526	8
1306	8
1297	8
1296	8
1292	8
1301	8
1304	8
1293	8
1706	8
1708	8
1914	8
1569	8
1536	8
1524	8
1525	8
1531	8
1537	8
1718	8
1570	8
1566	8
1565	8
1533	8
1532	8
1530	8
1523	8
1538	8
1295	8
1298	8
1294	8
1527	8
1303	8
1529	8
1299	8
1302	8
1539	8
1535	8
885	9
1281	9
1311	10
1267	10
1403	10
1402	10
957	11
966	11
956	11
960	11
1352	11
987	11
983	11
958	11
990	11
994	11
1353	11
964	11
972	11
992	11
1351	11
1350	11
1658	11
1712	11
965	11
961	11
982	11
368	11
1282	11
993	11
991	11
1657	11
1659	11
1396	11
970	11
979	11
1284	11
985	11
969	11
380	11
1210	11
1266	11
971	11
984	11
1326	11
367	11
1222	11
1399	11
1401	11
1397	11
727	11
717	11
988	11
980	11
963	11
962	11
955	11
968	11
1400	11
1398	11
700	11
1309	11
974	11
989	11
978	11
959	11
975	11
986	11
976	11
967	11
722	11
711	11
611	11
946	11
701	11
709	11
723	11
724	11
977	11
710	11
703	11
720	11
708	11
981	11
973	11
704	11
707	11
713	11
705	11
715	11
714	11
659	11
716	11
699	11
712	11
873	11
721	11
706	11
945	11
702	11
719	11
1310	11
1349	11
726	11
718	11
725	11
1199	11
1200	11
952	11
950	11
247	12
173	12
72	12
31	12
81	12
192	12
163	12
176	12
97	12
29	12
80	12
1184	12
92	12
1183	12
242	12
93	12
143	12
178	12
850	12
1241	12
13	12
160	12
124	12
56	12
63	13
1197	13
105	13
164	13
139	13
142	13
150	13
165	13
148	13
934	13
187	13
177	13
179	13
1714	13
122	13
1074	13
113	13
134	13
120	13
116	13
149	13
161	13
153	13
158	13
182	13
533	13
128	13
1218	13
183	13
151	13
121	13
1071	13
1012	13
174	13
199	13
144	13
1694	13
166	13
136	13
171	13
200	13
126	13
996	13
127	13
530	13
935	13
1228	13
