SequenceName	ClusterNumber
658	1
655	1
661	1
651	1
663	1
659	1
654	1
660	1
662	1
657	1
652	1
656	1
653	1
469	2
649	2
633	2
665	2
692	2
697	2
701	2
691	2
625	2
632	2
698	2
695	2
626	2
634	2
624	2
627	2
696	2
702	2
700	2
699	2
468	3
688	3
351	3
350	3
279	3
184	3
595	3
153	3
156	3
277	3
186	3
183	3
69	3
588	3
155	3
151	3
152	3
254	3
280	3
278	3
433	3
182	3
185	3
589	3
590	3
586	3
154	3
150	3
282	3
283	3
281	3
592	3
591	3
593	3
594	3
596	3
587	3
620	3
276	3
621	4
352	4
629	4
271	4
631	4
664	4
214	4
470	4
393	4
394	4
613	4
636	4
189	4
205	4
204	4
203	4
198	4
213	4
212	4
194	4
190	4
210	4
199	4
197	4
208	4
191	4
202	4
192	4
193	4
206	4
207	4
209	4
215	4
216	4
217	4
188	4
187	4
200	4
201	4
552	4
195	4
211	4
196	4
486	5
485	5
510	5
515	5
506	5
514	5
497	5
495	5
511	5
488	5
498	5
512	5
513	5
508	5
471	5
502	5
475	5
509	5
476	5
472	5
474	5
545	5
478	5
479	5
500	5
503	5
507	5
504	5
524	5
523	5
546	5
477	5
499	5
480	5
526	5
537	5
525	5
473	5
539	5
534	5
527	5
339	5
347	5
505	5
489	5
540	5
542	5
332	5
346	5
342	5
544	5
481	5
492	5
482	5
487	5
533	5
541	5
491	5
493	5
345	5
536	5
538	5
490	5
483	5
529	5
331	5
340	5
338	5
496	5
543	5
535	5
326	5
336	5
322	5
501	5
484	5
530	5
531	5
528	5
324	5
344	5
348	5
310	5
494	5
532	5
317	5
333	5
309	5
306	5
311	5
343	5
318	5
312	5
335	5
337	5
304	5
319	5
341	5
315	5
327	5
321	5
329	5
305	5
307	5
334	5
325	5
328	5
314	5
313	5
308	5
320	5
316	5
669	5
330	5
323	5
288	6
614	6
415	6
685	6
434	6
81	6
82	6
80	6
465	7
181	7
467	7
399	7
443	7
445	7
446	7
388	7
176	7
444	7
398	7
72	7
686	7
259	7
256	7
258	7
618	7
373	7
177	7
178	7
175	7
257	7
585	7
396	7
382	7
70	7
266	7
263	7
179	7
180	7
705	7
395	7
385	7
391	7
390	7
372	7
260	7
268	7
265	7
71	7
379	7
375	7
374	7
371	7
267	7
392	7
553	7
383	7
376	7
264	7
381	7
389	7
262	7
261	7
380	7
378	7
386	7
387	7
384	7
377	7
370	7
255	8
522	8
270	8
397	8
274	8
551	8
285	8
547	8
286	8
284	8
689	8
448	8
518	8
517	8
411	8
407	8
670	8
406	8
403	8
68	8
431	8
683	8
272	8
251	8
85	8
66	8
148	8
413	8
409	8
405	8
412	8
414	8
149	8
141	8
88	8
410	8
64	8
349	8
83	8
461	8
169	8
404	8
408	8
60	8
84	8
168	8
224	8
65	8
59	8
166	8
165	8
161	8
87	8
236	8
227	8
245	8
222	8
219	8
244	8
67	8
142	8
173	8
129	8
127	8
243	8
228	8
241	8
220	8
62	8
146	8
164	8
163	8
92	8
91	8
89	8
231	8
230	8
249	8
250	8
144	8
140	8
63	8
172	8
145	8
90	8
114	8
162	8
61	8
170	8
171	8
120	8
160	8
125	8
113	8
132	8
98	8
101	8
104	8
97	8
223	8
225	8
234	8
246	8
229	8
238	8
143	8
147	8
121	8
123	8
86	8
118	8
248	8
221	8
239	8
237	8
100	8
131	8
157	8
108	8
103	8
460	8
232	8
233	8
242	8
218	8
240	8
235	8
226	8
247	8
116	8
106	8
137	8
111	8
122	8
159	8
124	8
93	8
109	8
167	8
105	8
128	8
139	8
95	8
99	8
94	8
400	8
158	8
136	8
138	8
126	8
110	8
119	8
96	8
115	8
112	8
102	8
401	8
117	8
134	8
130	8
107	8
135	8
133	8
273	9
52	9
53	9
54	9
50	9
57	9
671	9
48	9
49	9
430	9
428	9
619	9
429	9
56	9
353	9
55	9
51	9
174	9
275	9
76	10
42	10
46	10
14	11
33	11
38	11
15	11
10	11
9	11
17	11
37	11
4	11
25	11
21	11
22	11
16	11
41	11
8	11
32	11
29	11
23	11
30	11
0	11
1	11
27	11
3	11
11	11
6	11
12	11
34	11
28	11
7	11
19	11
36	11
20	11
5	11
13	11
2	11
26	11
24	11
18	11
35	11
31	11
39	12
47	12
43	12
425	12
79	12
45	12
682	12
44	12
40	12
73	12
548	13
77	13
667	13
668	13
422	13
421	13
420	13
424	13
418	13
